*Sch DP	Act DP
07/06/2015 8:30 AM (Mo)	8:30AM
07/06/2015 9:00 AM (Mo)	9:10AM
07/06/2015 9:30 AM (Mo)	9:30AM
07/06/2015 9:35 AM (Mo)	9:38AM
07/06/2015 10:00 AM (Mo)	10:00AM
07/06/2015 10:03 AM (Mo)	10:05AM
07/06/2015 10:20 AM (Mo)	10:20AM
07/06/2015 10:35 AM (Mo)	11:12AM
07/06/2015 10:52 AM (Mo)	10:52AM
07/06/2015 11:00 AM (Mo)	11:13AM
07/06/2015 11:00 AM (Mo)	11:00AM
07/06/2015 11:02 AM (Mo)	11:05AM
07/06/2015 11:20 AM (Mo)	11:21AM
07/06/2015 11:33 AM (Mo)	11:33AM
07/06/2015 11:35 AM (Mo)	11:35AM
07/06/2015 12:00 PM (Mo)	12:00PM
07/06/2015 12:03 PM (Mo)	12:03PM
07/06/2015 12:05 PM (Mo)	12:14PM
07/06/2015 12:30 PM (Mo)	12:31PM
07/06/2015 12:35 PM (Mo)	12:41PM
07/06/2015 1:00 PM (Mo)	1:03PM
07/06/2015 1:03 PM (Mo)	1:03PM
07/06/2015 1:20 PM (Mo)	1:20PM
07/06/2015 2:00 PM (Mo)	2:22PM
07/06/2015 2:00 PM (Mo)	2:00PM
07/06/2015 2:02 PM (Mo)	2:13PM
07/06/2015 2:11 PM (Mo)	2:12PM
07/06/2015 2:15 PM (Mo)	2:15PM
07/06/2015 2:20 PM (Mo)	2:20PM
07/06/2015 2:44 PM (Mo)	2:45PM
07/06/2015 3:00 PM (Mo)	3:00PM
07/06/2015 3:00 PM (Mo)	3:00PM
07/06/2015 3:05 PM (Mo)	3:05PM
07/06/2015 3:15 PM (Mo)	3:15PM
07/06/2015 3:15 PM (Mo)	3:15PM
07/06/2015 3:30 PM (Mo)	4:05PM
07/06/2015 3:35 PM (Mo)	3:35PM
07/06/2015 3:40 PM (Mo)	3:40PM
07/06/2015 4:00 PM (Mo)	4:12PM
07/06/2015 4:00 PM (Mo)	4:12PM
07/06/2015 4:03 PM (Mo)	4:03PM
07/06/2015 4:05 PM (Mo)	4:05PM
07/06/2015 4:40 PM (Mo)	4:40PM
07/06/2015 4:42 PM (Mo)	4:42PM
07/06/2015 5:00 PM (Mo)	5:00PM
07/06/2015 5:00 PM (Mo)	5:00PM
07/06/2015 5:10 PM (Mo)	5:10PM
07/06/2015 5:39 PM (Mo)	5:39PM
07/06/2015 5:42 PM (Mo)	6:18PM
07/06/2015 5:47 PM (Mo)	5:49PM
07/06/2015 6:00 PM (Mo)	6:00PM
07/06/2015 6:00 PM (Mo)	6:06PM
07/06/2015 6:25 PM (Mo)	6:25PM
07/06/2015 6:35 PM (Mo)	6:35PM
07/06/2015 6:45 PM (Mo)	6:48PM
07/06/2015 6:45 PM (Mo)	6:45PM
07/06/2015 7:00 PM (Mo)	7:01PM
07/06/2015 7:00 PM (Mo)	7:10PM
07/06/2015 7:15 PM (Mo)	7:15PM
07/06/2015 7:40 PM (Mo)	7:41PM
07/06/2015 7:50 PM (Mo)	7:50PM
07/06/2015 8:00 PM (Mo)	8:10PM
07/06/2015 8:55 PM (Mo)	8:55PM
